Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
2004,ARI,"2,519,560","31,106",28.9,29.3,105,106,2,1,10,"$69,780,750 ",2:46,Brenly and Pedrique
2004,ATL,"2,327,565","28,735",28.9,30.1,101,99,2,1,11,"$90,182,500 ",2:50,Cox
2004,BAL,"2,744,018","33,877",30.5,27.4,98,98,0,1,8,"$51,623,333 ",3:00,Mazzilli
2004,BOS,"2,837,294","35,028",30.4,32.5,106,104,1,3,15,"$127,298,500 ",2:59,Francona
2004,CHC,"3,170,154","38,660",30.1,29.1,102,102,1,3,14,"$90,560,000 ",2:49,Baker
2004,CHW,"1,930,537","23,834",28.6,28.2,102,101,2,1,15,"$65,212,500 ",2:41,Guillen
2004,CIN,"2,287,250","28,238",28.4,28.5,97,98,2,4,7,"$46,915,250 ",2:53,Miley
2004,CLE,"1,814,401","22,400",28.6,27.3,94,94,0,5,12,"$34,319,300 ",2:55,Wedge
2004,COL,"2,338,069","28,865",30.4,28.8,113,114,1,1,13,"$65,445,167 ",2:51,Hurdle
2004,DET,"1,917,004","23,667",28.1,27.5,94,96,1,2,10,"$46,832,000 ",2:46,Trammell
2004,HOU,"3,087,872","38,122",31.7,29.6,101,100,2,4,11,"$75,397,000 ",2:52,Williams and Garner
2004,KCR,"1,661,478","20,768",29,27.4,101,103,0,1,10,"$47,609,000 ",2:47,Pena
2004,LAA,"3,375,677","41,675",28.9,29,97,96,1,2,15,"$100,534,667 ",2:52,Scioscia
2004,LAD,"3,488,283","43,065",28.9,29.5,95,95,0,2,16,"$92,902,001 ",2:51,Tracy
2004,MIA,"1,723,105","21,539",28.8,27.8,95,95,0,4,14,"$42,143,042 ",2:45,McKeon
2004,MIL,"2,062,382","25,462",28.5,27.2,100,101,0,2,7,"$27,528,500 ",2:55,Yost
2004,MIN,"1,911,490","23,599",27.8,28.2,102,102,0,1,13,"$53,890,000 ",2:48,Gardenhire
2004,NYM,"2,318,951","28,629",29.8,32.5,98,99,2,2,14,"$102,035,970 ",2:59,Howe
2004,NYY,"3,775,292","46,609",32.2,32.9,98,97,3,8,21,"$184,193,950 ",2:59,Torre
2004,OAK,"2,201,516","27,179",29.6,28.4,99,98,0,2,10,"$59,425,667 ",2:54,Macha
2004,PHI,"3,250,092","40,125",29.3,29.8,105,104,1,2,15,"$93,219,167 ",2:59,Bowa and Varsho
2004,PIT,"1,580,031","19,750",27.2,27.7,99,99,0,1,9,"$32,227,929 ",2:48,McClendon
2004,SDP,"3,016,752","37,244",29.6,30,90,90,1,1,13,"$55,384,833 ",2:46,Bochy
2004,SEA,"2,940,731","35,863",31.6,30.4,97,97,1,1,19,"$81,515,834 ",2:55,Melvin
2004,SFG,"3,256,854","39,718",31.6,30.1,101,101,0,2,8,"$82,019,166 ",2:55,Alou
2004,STL,"3,048,427","37,635",30.6,30.1,99,98,1,3,15,"$84,340,333 ",2:52,La Russa
2004,TBD,"1,274,911","15,936",28.1,27.5,96,97,0,1,8,"$29,856,667 ",2:46,Piniella
2004,TEX,"2,513,685","31,033",27.7,30.6,108,108,0,5,14,"$55,050,417 ",2:51,Showalter
2004,TOR,"1,900,041","23,457",28,28.6,104,104,1,1,8,"$50,017,000 ",2:45,Tosca and Gibbons
2004,WSN,"749,550","9,369",27.5,26.5,104,105,0,1,5,"$41,197,500 ",2:51,Robinson
2005,ARI,"2,059,424","25,425",30.3,27.4,103,104,0,1,10,"$62,629,166 ",2:56,Melvin
2005,ATL,"2,521,167","31,126",28.1,28.6,101,100,2,2,13,"$86,457,302 ",2:46,Cox
2005,BAL,"2,624,740","32,404",31.5,28.3,99,99,0,4,9,"$73,914,333 ",2:53,Mazzilli and Perlozzo
2005,BOS,"2,847,888","35,159",31.3,33.6,104,104,0,5,17,"$123,505,125 ",3:01,Francona
2005,CHC,"3,099,992","38,272",29.7,28.2,104,104,1,2,13,"$87,032,933 ",2:45,Baker
2005,CHW,"2,342,833","28,924",29.3,29.3,103,103,1,4,13,"$75,178,000 ",2:49,Guillen
2005,CIN,"1,943,067","23,696",28.6,28.9,100,101,1,1,8,"$61,892,583 ",2:53,Miley and Narron
2005,CLE,"2,013,763","24,861",27.5,29.2,96,96,0,1,14,"$41,502,500 ",2:51,Wedge
2005,COL,"1,914,389","23,634",27.2,27.3,112,113,0,1,8,"$47,839,000 ",2:48,Hurdle
2005,DET,"2,024,431","24,993",28.5,28,97,97,1,1,15,"$69,092,000 ",2:44,Trammell
2005,HOU,"2,804,760","34,627",30.3,30.3,101,100,2,4,10,"$76,779,000 ",2:43,Garner
2005,KCR,"1,371,181","16,928",28.1,25.7,99,101,0,1,6,"$36,881,000 ",2:48,"Pena, Schaefer and Bell"
2005,LAA,"3,404,686","42,033",29.8,28.5,98,97,1,3,12,"$94,867,822 ",2:50,Scioscia
2005,LAD,"3,603,646","44,489",28.7,28.5,98,97,0,2,14,"$83,039,000 ",2:50,Tracy
2005,MIA,"1,852,608","22,872",29.7,29.5,94,94,0,4,16,"$60,408,834 ",2:49,McKeon
2005,MIL,"2,211,023","27,297",28.4,28,100,101,0,1,14,"$39,934,833 ",2:53,Yost
2005,MIN,"2,034,243","25,114",27.6,27.9,102,102,0,2,13,"$56,186,000 ",2:43,Gardenhire
2005,NYM,"2,829,929","34,937",28.8,31.9,97,97,3,3,13,"$101,305,821 ",2:50,Randolph
2005,NYY,"4,090,696","50,502",32.3,34.2,98,97,4,3,23,"$208,306,817 ",3:02,Torre
2005,OAK,"2,109,118","26,038",28.6,26.6,100,100,0,1,7,"$55,425,762 ",2:45,Macha
2005,PHI,"2,665,304","32,905",30,29.7,105,104,1,3,16,"$95,522,000 ",2:51,Manuel
2005,PIT,"1,817,245","22,435",27.4,28.7,99,99,0,1,13,"$38,133,000 ",2:46,McClendon and Mackanin
