"","date","hits","teams"
"1",2004-01-01,"3","Chicago Cubs"
"2",2004-02-01,"4","Chicago Cubs"
"3",2004-03-01,"3","Chicago Cubs"
"4",2004-04-01,"7","Chicago Cubs"
"5",2004-05-01,"6","Chicago Cubs"
"6",2004-06-01,"6","Chicago Cubs"
"7",2004-07-01,"6","Chicago Cubs"
"8",2004-08-01,"6","Chicago Cubs"
"9",2004-09-01,"5","Chicago Cubs"
"10",2004-10-01,"3","Chicago Cubs"
"11",2004-11-01,"2","Chicago Cubs"
"12",2004-12-01,"2","Chicago Cubs"
"13",2005-01-01,"3","Chicago Cubs"
"14",2005-02-01,"3","Chicago Cubs"
"15",2005-03-01,"4","Chicago Cubs"
"16",2005-04-01,"6","Chicago Cubs"
"17",2005-05-01,"6","Chicago Cubs"
"18",2005-06-01,"6","Chicago Cubs"
"19",2005-07-01,"5","Chicago Cubs"
"20",2005-08-01,"4","Chicago Cubs"
"21",2005-09-01,"2","Chicago Cubs"
"22",2005-10-01,"2","Chicago Cubs"
"23",2005-11-01,"2","Chicago Cubs"
"24",2005-12-01,"2","Chicago Cubs"
"25",2006-01-01,"2","Chicago Cubs"
"26",2006-02-01,"3","Chicago Cubs"
"27",2006-03-01,"3","Chicago Cubs"
"28",2006-04-01,"6","Chicago Cubs"
"29",2006-05-01,"6","Chicago Cubs"
"30",2006-06-01,"5","Chicago Cubs"
"31",2006-07-01,"5","Chicago Cubs"
"32",2006-08-01,"4","Chicago Cubs"
"33",2006-09-01,"2","Chicago Cubs"
"34",2006-10-01,"2","Chicago Cubs"
"35",2006-11-01,"2","Chicago Cubs"
"36",2006-12-01,"2","Chicago Cubs"
"37",2007-01-01,"2","Chicago Cubs"
"38",2007-02-01,"3","Chicago Cubs"
"39",2007-03-01,"3","Chicago Cubs"
"40",2007-04-01,"6","Chicago Cubs"
"41",2007-05-01,"5","Chicago Cubs"
"42",2007-06-01,"6","Chicago Cubs"
"43",2007-07-01,"7","Chicago Cubs"
"44",2007-08-01,"7","Chicago Cubs"
"45",2007-09-01,"7","Chicago Cubs"
"46",2007-10-01,"4","Chicago Cubs"
"47",2007-11-01,"2","Chicago Cubs"
"48",2007-12-01,"2","Chicago Cubs"
"49",2008-01-01,"2","Chicago Cubs"
"50",2008-02-01,"3","Chicago Cubs"
"51",2008-03-01,"4","Chicago Cubs"
"52",2008-04-01,"7","Chicago Cubs"
"53",2008-05-01,"6","Chicago Cubs"
"54",2008-06-01,"8","Chicago Cubs"
"55",2008-07-01,"7","Chicago Cubs"
"56",2008-08-01,"7","Chicago Cubs"
"57",2008-09-01,"7","Chicago Cubs"
"58",2008-10-01,"4","Chicago Cubs"
"59",2008-11-01,"2","Chicago Cubs"
"60",2008-12-01,"2","Chicago Cubs"
"61",2009-01-01,"2","Chicago Cubs"
"62",2009-02-01,"3","Chicago Cubs"
"63",2009-03-01,"3","Chicago Cubs"
"64",2009-04-01,"7","Chicago Cubs"
"65",2009-05-01,"5","Chicago Cubs"
"66",2009-06-01,"5","Chicago Cubs"
"67",2009-07-01,"6","Chicago Cubs"
"68",2009-08-01,"5","Chicago Cubs"
"69",2009-09-01,"3","Chicago Cubs"
"70",2009-10-01,"1","Chicago Cubs"
"71",2009-11-01,"1","Chicago Cubs"
"72",2009-12-01,"2","Chicago Cubs"
"73",2010-01-01,"2","Chicago Cubs"
"74",2010-02-01,"2","Chicago Cubs"
"75",2010-03-01,"3","Chicago Cubs"
"76",2010-04-01,"6","Chicago Cubs"
"77",2010-05-01,"4","Chicago Cubs"
"78",2010-06-01,"4","Chicago Cubs"
"79",2010-07-01,"4","Chicago Cubs"
"80",2010-08-01,"3","Chicago Cubs"
"81",2010-09-01,"2","Chicago Cubs"
"82",2010-10-01,"1","Chicago Cubs"
"83",2010-11-01,"1","Chicago Cubs"
"84",2010-12-01,"1","Chicago Cubs"
"85",2011-01-01,"2","Chicago Cubs"
"86",2011-02-01,"2","Chicago Cubs"
"87",2011-03-01,"3","Chicago Cubs"
"88",2011-04-01,"6","Chicago Cubs"
"89",2011-05-01,"5","Chicago Cubs"
"90",2011-06-01,"5","Chicago Cubs"
"91",2011-07-01,"4","Chicago Cubs"
"92",2011-08-01,"4","Chicago Cubs"
"93",2011-09-01,"2","Chicago Cubs"
"94",2011-10-01,"2","Chicago Cubs"
"95",2011-11-01,"2","Chicago Cubs"
"96",2011-12-01,"2","Chicago Cubs"
"97",2012-01-01,"2","Chicago Cubs"
"98",2012-02-01,"2","Chicago Cubs"
"99",2012-03-01,"3","Chicago Cubs"
"100",2012-04-01,"6","Chicago Cubs"
"101",2012-05-01,"5","Chicago Cubs"
"102",2012-06-01,"5","Chicago Cubs"
"103",2012-07-01,"5","Chicago Cubs"
"104",2012-08-01,"3","Chicago Cubs"
"105",2012-09-01,"2","Chicago Cubs"
"106",2012-10-01,"1","Chicago Cubs"
"107",2012-11-01,"1","Chicago Cubs"
"108",2012-12-01,"1","Chicago Cubs"
"109",2013-01-01,"2","Chicago Cubs"
"110",2013-02-01,"2","Chicago Cubs"
"111",2013-03-01,"2","Chicago Cubs"
"112",2013-04-01,"5","Chicago Cubs"
"113",2013-05-01,"4","Chicago Cubs"
"114",2013-06-01,"4","Chicago Cubs"
"115",2013-07-01,"5","Chicago Cubs"
"116",2013-08-01,"4","Chicago Cubs"
"117",2013-09-01,"2","Chicago Cubs"
"118",2013-10-01,"1","Chicago Cubs"
"119",2013-11-01,"1","Chicago Cubs"
"120",2013-12-01,"1","Chicago Cubs"
"121",2014-01-01,"2","Chicago Cubs"
"122",2014-02-01,"2","Chicago Cubs"
"123",2014-03-01,"3","Chicago Cubs"
