Team,TVMarketSize,Rating
Arizona Diamondbacks,"1,880,000",2.23
Atlanta Braves,"2,269,000",3.89
Baltimore Orioles,"1,039,000",2.42
Boston Red Sox,"2,303,000",5.64
Chicago Cubs,"3,256,000",4.43
Chicago White Sox,"3,256,000",1.03
Cincinnati Reds,"828,000",5.49
Cleveland Indians,"1,366,000",7.18
Colorado Rockies,"1,532,000",3.29
Detroit Tigers,"1,737,000",2.28
Houston Astros,"2,330,000",5.16
Kansas City Royals,"897,000",4.66
Los Angeles Angels,"5,145,000",1.43
Los Angeles Dodgers,"5,145,000",1.96
Miami Marlins,"1,642,000",0.86
Milwaukee Brewers,"837,000",6.77
Minnesota Twins,"1,697,000",7
New York Mets,"6,824,000",2.47
New York Yankees,"6,824,000",3.34
Oakland Athletics,"2,365,000",0.88
Philadelphia Phillies,"2,758,000",4.38
Pittsburgh Pirates,"1,080,000",4.95
San Diego Padres,"982,000",4.09
San Francisco Giants,"2,365,000",2.68
Seattle Mariners,"1,765,000",2.97
St. Louis Cardinals,"1,100,000",6.87
Tampa Bay Rays,"1,801,000",3.03
Texas Rangers,"2,563,000",1.19
Toronto Blue Jays,,
Washington Nationals,"2,352,000",2.52
