"","date","googlehits","team","odds","propTVMarketSize","winpct","attendance","attgame","payroll","date_ts","month","year","playoffs","phase","is_playoffs","Month","mlb_searches","googlehits_orig","mlb_searches_orig"
"1",2004-01-01,-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Jan",1,2004,"No Playoffs","Off-Season",0,"2004-01-01",-2.79488860173351,0,4
"2",2004-02-01,-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Feb",2,2004,"No Playoffs","Off-Season",0,"2004-02-01",-2.16597391398202,0,6
"3",2004-03-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Mar",3,2004,"No Playoffs","Off-Season",0,"2004-03-01",-1.59504700447539,1,8
"4",2004-04-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Apr",4,2004,"No Playoffs","Opening",0,"2004-04-01",-0.428348719716525,1,13
"5",2004-05-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 May",5,2004,"No Playoffs","Season",0,"2004-05-01",-0.527196301413635,1,12
"6",2004-06-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Jun",6,2004,"No Playoffs","Season",0,"2004-06-01",-0.280711741559435,1,15
"7",2004-07-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Jul",7,2004,"No Playoffs","Season",0,"2004-07-01",-0.280711741559435,1,15
"8",2004-08-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Aug",8,2004,"No Playoffs","Season",0,"2004-08-01",-0.678315621419004,1,11
"9",2004-09-01,-0.47460365222162,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Sep",9,2004,"No Playoffs","Season",0,"2004-09-01",-0.428348719716525,1,13
"10",2004-10-01,-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Oct",10,2004,"No Playoffs","Playoffs",1,"2004-10-01",0.0630117351366661,0,21
"11",2004-11-01,-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Nov",11,2004,"No Playoffs","Off-Season",0,"2004-11-01",-2.16597391398202,0,6
"12",2004-12-01,-1.4726426087836,"Arizona Diamondbacks",1600,1880000,0.315,2519560,31106,69780750,"2004 Dec",12,2004,"No Playoffs","Off-Season",0,"2004-12-01",-1.59504700447539,0,8
