Month, mlb_searches
2004-01,4
2004-02,6
2004-03,8
2004-04,13
2004-05,12
2004-06,15
2004-07,15
2004-08,11
2004-09,13
2004-10,21
2004-11,6
2004-12,8
2005-01,6
2005-02,7
2005-03,9
2005-04,17
2005-05,15
2005-06,19
2005-07,20
2005-08,16
2005-09,16
2005-10,19
2005-11,6
2005-12,9
2006-01,7
2006-02,7
2006-03,11
2006-04,22
2006-05,19
2006-06,23
2006-07,25
2006-08,19
2006-09,18
2006-10,20
2006-11,9
2006-12,9
2007-01,7
2007-02,9
2007-03,13
2007-04,25
2007-05,21
2007-06,28
2007-07,28
2007-08,23
2007-09,25
2007-10,26
2007-11,10
2007-12,11
2008-01,8
2008-02,10
2008-03,16
2008-04,23
2008-05,20
2008-06,25
2008-07,29
2008-08,21
2008-09,23
2008-10,24
2008-11,9
2008-12,12
2009-01,11
2009-02,13
2009-03,15
2009-04,25
2009-05,23
2009-06,27
2009-07,29
2009-08,22
2009-09,19
2009-10,24
2009-11,13
2009-12,10
2010-01,9
2010-02,9
2010-03,13
2010-04,24
2010-05,22
2010-06,29
2010-07,31
2010-08,26
2010-09,25
2010-10,32
2010-11,10
2010-12,10
2011-01,9
2011-02,11
2011-03,17
2011-04,32
2011-05,28
2011-06,34
2011-07,39
2011-08,29
2011-09,32
2011-10,35
2011-11,10
2011-12,11
2012-01,10
2012-02,11
2012-03,17
2012-04,34
2012-05,31
2012-06,38
2012-07,40
2012-08,31
2012-09,34
2012-10,44
2012-11,10
2012-12,12
2013-01,10
2013-02,11
2013-03,16
2013-04,34
2013-05,33
2013-06,41
2013-07,45
2013-08,41
2013-09,40
2013-10,40
2013-11,9
2013-12,11
2014-01,9
2014-02,10
2014-03,17
2014-04,38
2014-05,33
2014-06,37
2014-07,41
2014-08,35
2014-09,37
2014-10,39
2014-11,9
2014-12,11
2015-01,9
2015-02,9
2015-03,14
2015-04,41
2015-05,41
2015-06,46
2015-07,53
2015-08,49
2015-09,49
2015-10,58
2015-11,12
2015-12,11
2016-01,9
2016-02,9
2016-03,15
2016-04,54
2016-05,57
2016-06,59
2016-07,60
2016-08,53
2016-09,57
2016-10,70
2016-11,19
2016-12,10
2017-01,8
2017-02,10
2017-03,16
2017-04,54
2017-05,56
2017-06,65
2017-07,69
2017-08,58
2017-09,58
2017-10,86
2017-11,18
2017-12,13
2018-01,11
2018-02,14
2018-03,24
2018-04,61
2018-05,60
2018-06,66
2018-07,72
2018-08,68
2018-09,70
2018-10,90
2018-11,11
2018-12,14
2019-01,13
2019-02,17
2019-03,29
2019-04,64
2019-05,64
2019-06,76
2019-07,74
2019-08,72
2019-09,71
2019-10,100
2019-11,11
2019-12,13
2020-01,12
2020-02,15
2020-03,15
2020-04,10
2020-05,11
2020-06,17
2020-07,32
2020-08,51
